1073, 189
1094, 193
1115, 198
1136, 202
1157, 206
1178, 210
1199, 214
1220, 218
1241, 223
1262, 227
1283, 231
1304, 235
1324, 239
1345, 243
1366, 248
1387, 252
1408, 256
1429, 260
1450, 264
1471, 269
1492, 273
1513, 277
1534, 282
1555, 285
1576, 290
1597, 294
1618, 298
1639, 302
1660, 307
1681, 311
1702, 315
1723, 319
1744, 323
1765, 328
1785, 332
1806, 336
1827, 340
1848, 344
1868, 348
1889, 352
1910, 357
1931, 361
1952, 365
1973, 369
1994, 373
2015, 377
2036, 381
2057, 385
2078, 388
2099, 391
2120, 393
2141, 395
2162, 397
2183, 398
2204, 399
