393, 60
414, 66
435, 74
456, 82
477, 90
498, 96
519, 106
540, 112
561, 121
582, 130
603, 139
624, 148
645, 154
666, 163
687, 172
708, 181
729, 190
750, 196
771, 205
792, 214
813, 223
834, 232
855, 238
876, 247
897, 256
918, 265
939, 274
960, 280
981, 292
1002, 298
1022, 307
1043, 313
1064, 322
1085, 331
1105, 340
1126, 349
1147, 355
1168, 364
1189, 373
1210, 382
1231, 391
1252, 397
1272, 407
1293, 415
1314, 423
1335, 429
1355, 435
1376, 443
1397, 449
1418, 455
1439, 459
1459, 465
1480, 471
1501, 475
1522, 479
1543, 482
1564, 486
1585, 489
1606, 491
1627, 494
1648, 496
1669, 497
1690, 498
1711, 499
